name,role,ctd_dtxsid,dz_direct,dz_inferred,pd_direct,pd_inferred,ad_direct,ad_inferred,gene_ixns_total,gene_ixns_human,aop3_gene_hits,aop3_gene_hit_count
rotenone,positive,DTXSID6021248,85,21517,1,70,0,68,20101,3904,BAX|CASP3|GPX1|HMOX1|IL1B|IL6|LRRK2|MAOB|NDUFA9|NDUFS1|NDUFS2|NDUFS3|NDUFV2|NFE2L2|NOS2|PARK7|PINK1|PRKN|SLC6A3|SNCA|SOD1|SOD2|TNF,23
MPP+,positive,DTXSID4058106,11,10577,1,49,0,46,5891,3214,BAX|CASP3|GPX1|HMOX1|IL1B|IL6|LRRK2|NDUFA9|NDUFS1|NDUFS3|NFE2L2|NOS2|PARK7|PINK1|PRKN|SLC6A3|SNCA|SOD1|SOD2|TH|TNF,21
MPTP,positive,DTXSID8040933,42,4361,1,33,0,19,1752,38,GPX1|MAOB|PRKN|SNCA|TH,5
paraquat,positive,DTXSID3034799,87,16867,1,61,0,57,10193,1957,BAX|CASP3|GFAP|GPX1|HMOX1|IL1B|IL6|LRRK2|MAOB|NDUFA9|NDUFS1|NDUFS2|NDUFS3|NDUFV1|NFE2L2|NOS2|PARK7|PINK1|PRKN|SLC6A3|SNCA|SOD1|SOD2|TH|TNF,25
maneb,positive,DTXSID9020794,35,5038,1,27,0,25,1460,103,BAX|CASP3|LRRK2|NFE2L2|PARK7|SLC6A3|SNCA,7
manganese chloride,positive,DTXSID9040681,37,11006,0,40,0,44,7522,3664,BAX|CASP3|GPX1|HMOX1|IL1B|IL6|NDUFS2|NFE2L2|NOS2|PINK1|PRKN|SNCA|SOD1|SOD2|TH|TNF,16
methylmercury chloride,positive,DTXSID5020813,36,15606,0,45,0,47,11222,5078,BAX|CASP3|GFAP|GPX1|HMOX1|IL6|MAOB|NDUFS1|NFE2L2|NOS2|PINK1|SOD1|SOD2|TNF,14
lead acetate,positive,DTXSID6020773,64,12909,0,45,0,46,5302,1409,BAX|CASP3|GFAP|GPX1|HMOX1|IL1B|IL6|NFE2L2|PINK1|PRKN|SOD1|SOD2|TNF,13
deguelin,positive,DTXSID10200231,13,5436,0,14,0,19,992,941,BAX|CASP3|HMOX1|NOS2|PINK1|SLC6A3|SNCA|TNF,8
dieldrin,positive,DTXSID9020453,19,7450,1,24,0,27,1927,282,CASP3|TNF,2
chlorpyrifos,positive,DTXSID4020458,147,16884,1,55,0,60,9143,560,BAX|CASP3|GFAP|HMOX1|IL1B|IL6|NDUFS3|NFE2L2|NOS2|PINK1|PRKN|SOD2|TH|TNF,14
6-hydroxydopamine,positive,DTXSID0036768,40,3498,1,26,0,13,823,245,BAX|CASP3|HMOX1|NFE2L2|NOS2|PARK7|PINK1|PRKN|SLC6A3|SNCA|SOD1|TH|TNF,13
acetaminophen,negative,DTXSID2020006,198,28488,0,80,0,91,30774,9139,BAX|CASP3|GPX1|HMOX1|IL1B|IL6|LRRK2|MAOB|NDUFA9|NDUFS1|NDUFS2|NDUFS3|NDUFV1|NDUFV2|NFE2L2|PARK7|PINK1|SOD1|SOD2|TNF,20
sulfamethoxazole,negative,DTXSID8026064,18,598,0,2,0,3,24,14,,0
furosemide,negative,DTXSID6020648,144,2499,0,6,0,10,247,40,IL6|TNF,2
warfarin,negative,DTXSID5023742,197,3896,0,10,0,17,1170,254,CASP3|IL1B,2
ibuprofen,negative,DTXSID5020732,169,5071,0,13,1,19,969,368,IL1B|IL6|NFE2L2|SOD2|TNF,5
troglitazone,negative,DTXSID8023719,79,12054,0,31,0,34,4365,1420,BAX|CASP3|GPX1|HMOX1|IL1B|IL6|MAOB|NFE2L2|NOS2|SOD1|SOD2|TNF,12
fulvestrant,negative,DTXSID4022369,16,12499,0,34,0,46,6621,5778,BAX|CASP3|HMOX1|IL1B|IL6|MAOB|NFE2L2|NOS2|PRKN|SLC6A3|SNCA|SOD1|SOD2|TNF,14
fenofibrate,negative,DTXSID2029874,63,5851,0,18,0,20,1686,485,CASP3|HMOX1|IL1B|IL6|NFE2L2|TNF,6
propiconazole,negative,DTXSID8024280,26,7254,0,19,0,28,2613,133,IL1B|TNF,2
prochloraz,negative,DTXSID4024270,11,2616,0,10,0,13,622,86,BAX,1
diethyl phthalate,negative,DTXSID7021780,26,6029,0,12,0,20,1157,143,CASP3|TNF,2
simvastatin,negative,DTXSID0023581,150,8063,0,21,0,32,2391,1146,BAX|CASP3|HMOX1|IL1B|IL6|NFE2L2|NOS2|TNF,8
D-glucose,negative,DTXSID7022910,89,17051,0,48,1,58,14713,3216,BAX|CASP3|GPX1|HMOX1|IL1B|IL6|NFE2L2|NOS2|PINK1|SOD1|SOD2|TNF,12
sucrose,negative,DTXSID2021288,21,2857,0,7,0,13,374,17,,0
sodium chloride,negative,,34,6726,0,19,0,22,3015,2599,BAX|CASP3|IL1B|IL6|NDUFS1|NDUFS3|PARK7|SOD1|SOD2|TNF,10
