Symbol,HumanGeneID,Description,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,is_qsite_core
NDUFS1,4719,NADH:ubiquinone oxidoreductase core subunit S1,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,False
NDUFS7,374291,NADH:ubiquinone oxidoreductase core subunit S7,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,True
NDUFV2,4729,NADH:ubiquinone oxidoreductase core subunit V2,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,False
NDUFB8,4714,NADH:ubiquinone oxidoreductase subunit B8,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
AIFM1,9131,apoptosis inducing factor mitochondria associated 1,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40 | OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors | Mitochondrial dynamics and surveillance > Apoptosis",False
NDUFS8,4728,NADH:ubiquinone oxidoreductase core subunit S8,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,True
NDUFS2,4720,NADH:ubiquinone oxidoreductase core subunit S2,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,True
NDUFV1,4723,NADH:ubiquinone oxidoreductase core subunit V1,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,True
NDUFB5,4711,NADH:ubiquinone oxidoreductase subunit B5,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFB9,4715,NADH:ubiquinone oxidoreductase subunit B9,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFA6,4700,NADH:ubiquinone oxidoreductase subunit A6,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFS4,4724,NADH:ubiquinone oxidoreductase subunit S4,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFA9,4704,NADH:ubiquinone oxidoreductase subunit A9,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFAF4,29078,NADH:ubiquinone oxidoreductase complex assembly factor 4,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
NDUFAF5,79133,NADH:ubiquinone oxidoreductase complex assembly factor 5,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
NDUFS6,4726,NADH:ubiquinone oxidoreductase subunit S6,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFA5,4698,NADH:ubiquinone oxidoreductase subunit A5,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFB6,4712,NADH:ubiquinone oxidoreductase subunit B6,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFAF1,51103,NADH:ubiquinone oxidoreductase complex assembly factor 1,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
NDUFB10,4716,NADH:ubiquinone oxidoreductase subunit B10,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFA2,4695,NADH:ubiquinone oxidoreductase subunit A2,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFS5,4725,NADH:ubiquinone oxidoreductase subunit S5,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
TMEM126A,84233,transmembrane protein 126A,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
NDUFA7,4701,NADH:ubiquinone oxidoreductase subunit A7,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFB2,4708,NADH:ubiquinone oxidoreductase subunit B2,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFA12,55967,NADH:ubiquinone oxidoreductase subunit A12,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFA10,4705,NADH:ubiquinone oxidoreductase subunit A10,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFC2,4718,NADH:ubiquinone oxidoreductase subunit C2,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFA8,4702,NADH:ubiquinone oxidoreductase subunit A8,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFB11,54539,NADH:ubiquinone oxidoreductase subunit B11,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFV3,4731,NADH:ubiquinone oxidoreductase subunit V3,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFAB1,4706,NADH:ubiquinone oxidoreductase subunit AB1,MIM,OXPHOS > Complex I > CI subunits | Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | OXPHOS > OXPHOS subunits,False
