assay,is_viability_control
CCTE_Mundy_HCI_Cortical_NOG_BPCount,False
CCTE_Mundy_HCI_Cortical_NOG_NeuriteCount,False
CCTE_Mundy_HCI_Cortical_NOG_NeuriteLength,False
CCTE_Mundy_HCI_Cortical_NOG_NeuronCount,False
CCTE_Mundy_HCI_Cortical_Synap_Neur_Matur_BPCount,False
CCTE_Mundy_HCI_Cortical_Synap_Neur_Matur_CellBodySpotCount,False
CCTE_Mundy_HCI_Cortical_Synap_Neur_Matur_NeuriteCount,False
CCTE_Mundy_HCI_Cortical_Synap_Neur_Matur_NeuriteLength,False
CCTE_Mundy_HCI_Cortical_Synap_Neur_Matur_NeuriteSpotCountPerNeuriteLength,False
CCTE_Mundy_HCI_Cortical_Synap_Neur_Matur_NeuriteSpotCountPerNeuron,False
CCTE_Mundy_HCI_Cortical_Synap_Neur_Matur_NeuronCount,False
CCTE_Mundy_HCI_Cortical_Synap_Neur_Matur_SynapseCount,False
CCTE_Mundy_HCI_hN2_NOG_BPCount,False
CCTE_Mundy_HCI_hN2_NOG_NeuriteCount,False
CCTE_Mundy_HCI_hN2_NOG_NeuriteLength,False
CCTE_Mundy_HCI_hN2_NOG_NeuronCount,False
CCTE_Mundy_HCI_hNP1_Casp3_7,False
CCTE_Mundy_HCI_hNP1_CellTiter,False
CCTE_Mundy_HCI_hNP1_Pro_ResponderAvgInten,False
CCTE_Mundy_HCI_iCellGABA_NOG_BPCount,False
CCTE_Mundy_HCI_iCellGABA_NOG_NeuriteCount,False
CCTE_Mundy_HCI_iCellGABA_NOG_NeuriteLength,False
CCTE_Mundy_HCI_iCellGABA_NOG_NeuronCount,False
CCTE_Mundy_HCI_iCellGluta_NOG_BPCount,False
CCTE_Mundy_HCI_iCellGluta_NOG_NeuriteCount,False
CCTE_Mundy_HCI_iCellGluta_NOG_NeuriteLength,False
CCTE_Mundy_HCI_iCellGluta_NOG_NeuronCount,False
CCTE_Shafer_MEA_acute_AB,True
CCTE_Shafer_MEA_acute_LDH,True
CCTE_Shafer_MEA_acute_burst_duration_mean,False
CCTE_Shafer_MEA_acute_burst_number,True
CCTE_Shafer_MEA_acute_burst_percentage_mean,False
CCTE_Shafer_MEA_acute_burst_percentage_std,False
CCTE_Shafer_MEA_acute_cross_correlation_HWHM,False
CCTE_Shafer_MEA_acute_cross_correlation_area,False
CCTE_Shafer_MEA_acute_firing_rate_mean,False
CCTE_Shafer_MEA_acute_interburst_interval_mean,False
CCTE_Shafer_MEA_acute_network_burst_percentage,False
CCTE_Shafer_MEA_acute_per_burst_spike_number_mean,True
CCTE_Shafer_MEA_acute_per_network_burst_electrodes_number_mean,True
CCTE_Shafer_MEA_acute_per_network_burst_spike_number_mean,True
CCTE_Shafer_MEA_acute_per_network_burst_spike_number_std,True
CCTE_Shafer_MEA_acute_spike_number,True
CCTE_Shafer_MEA_acute_synchrony_index,False
CCTE_Shafer_MEA_dev_AB,True
CCTE_Shafer_MEA_dev_LDH,True
CCTE_Shafer_MEA_dev_active_electrodes_number,True
CCTE_Shafer_MEA_dev_burst_duration_mean,False
CCTE_Shafer_MEA_dev_burst_rate,False
CCTE_Shafer_MEA_dev_bursting_electrodes_number,True
CCTE_Shafer_MEA_dev_correlation_coefficient_mean,False
CCTE_Shafer_MEA_dev_firing_rate_mean,False
CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean,False
CCTE_Shafer_MEA_dev_interburst_interval_mean,False
CCTE_Shafer_MEA_dev_mutual_information_norm,False
CCTE_Shafer_MEA_dev_network_spike_duration_std,False
CCTE_Shafer_MEA_dev_network_spike_number,True
CCTE_Shafer_MEA_dev_network_spike_peak,False
CCTE_Shafer_MEA_dev_per_burst_interspike_interval,False
CCTE_Shafer_MEA_dev_per_burst_spike_percent,False
CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean,True
CCTE_Shafer_MEA_dev_per_network_spike_spike_percent,False
CCTE_Shafer_MEA_dev_spike_duration_mean,False
IUF-NPC2-5_viability_120hr,True
IUF_NPC1_cytotoxicity_72hr,True
IUF_NPC1_viability_72hr,True
IUF_NPC1a_proliferation_area_72hr,False
IUF_NPC1b_proliferation_BrdU_72hr,False
IUF_NPC2-5_cell_number_120hr,True
IUF_NPC2-5_cytotoxicity_120hr,True
IUF_NPC2-5_cytotoxicity_72hr,True
IUF_NPC2a_radial_glia_migration_120hr,False
IUF_NPC2a_radial_glia_migration_72hr,False
IUF_NPC2b_neuronal_migration_120hr,False
IUF_NPC2c_oligodendrocyte_migration_120hr,False
IUF_NPC3_neuronal_differentiation_120hr,False
IUF_NPC4_neurite_area_120hr,False
IUF_NPC4_neurite_length_120hr,False
IUF_NPC5_oligodendrocyte_differentiation_120hr,False
NVS_GPCR_hDRD2s,False
NVS_GPCR_rAdra2_NonSelective,False
NVS_GPCR_rmAdra2B,False
NVS_TR_hDAT,False
NVS_TR_hNET,False
NVS_TR_hSERT,False
TOX21_AChE_Antagonist,False
TOX21_AChE_Colorimetric_Antagonist,False
TOX21_AChE_Fluor_Antagonist,False
TOX21_AChE_ms_Antagonist,False
UKN2_HCS_IMR90_cell_viability,True
UKN2_HCS_IMR90_neural_migration,False
UKN4_HCS_LUHMES_cell_viability,True
UKN4_HCS_LUHMES_neurite_outgrowth,False
UKN5_HCS_SBAD2_cell_viability,True
UKN5_HCS_SBAD2_neurite_outgrowth,False
