,rotenone,MPP+,MPTP,paraquat,maneb,manganese chloride,methylmercury chloride,lead acetate,deguelin,dieldrin,chlorpyrifos,6-hydroxydopamine,acetaminophen,sulfamethoxazole,furosemide,warfarin,ibuprofen,troglitazone,fulvestrant,fenofibrate,propiconazole,prochloraz,diethyl phthalate,simvastatin,D-glucose,sucrose,sodium chloride
rotenone,1.0,0.05970149253731343,0.0684931506849315,0.06349206349206349,0.014925373134328358,0.0,0.01694915254237288,0.06779661016949153,0.582089552238806,0.05405405405405406,0.08974358974358974,0.057971014492753624,0.1044776119402985,0.10256410256410256,0.07692307692307693,0.12345679012345678,0.0821917808219178,0.13402061855670103,0.1262135922330097,0.08536585365853659,0.10638297872340426,0.07608695652173914,0.10294117647058823,0.14432989690721648,0.05970149253731343,0.075,0.0
MPP+,0.05970149253731343,1.0,0.28125,0.7647058823529411,0.0,0.0,0.09523809523809523,0.04,0.06153846153846154,0.025,0.06666666666666667,0.09090909090909091,0.12121212121212122,0.08888888888888889,0.10909090909090909,0.14893617021276595,0.13513513513513514,0.07352941176470588,0.05333333333333334,0.08333333333333333,0.06349206349206349,0.05084745762711865,0.1875,0.04225352112676056,0.0,0.020833333333333332,0.0
MPTP,0.0684931506849315,0.28125,1.0,0.15625,0.0,0.0,0.034482758620689655,0.03125,0.07042253521126761,0.043478260869565216,0.1,0.04878048780487805,0.1,0.07692307692307693,0.07936507936507936,0.12962962962962962,0.11363636363636363,0.08108108108108109,0.06172839506172839,0.07272727272727272,0.1044776119402985,0.078125,0.18421052631578946,0.05194805194805195,0.0,0.01818181818181818,0.0
paraquat,0.06349206349206349,0.7647058823529411,0.15625,1.0,0.0,0.0,0.11764705882352941,0.047619047619047616,0.06557377049180328,0.027777777777777776,0.07317073170731707,0.10344827586206896,0.13793103448275862,0.0975609756097561,0.07547169811320754,0.08695652173913043,0.11764705882352941,0.078125,0.056338028169014086,0.09090909090909091,0.06779661016949153,0.05454545454545454,0.13333333333333333,0.04477611940298507,0.0,0.022727272727272728,0.0
maneb,0.014925373134328358,0.0,0.0,0.0,1.0,0.0625,0.0,0.045454545454545456,0.0,0.0,0.046511627906976744,0.06451612903225806,0.0625,0.022222222222222223,0.05454545454545454,0.04081632653061224,0.05405405405405406,0.04477611940298507,0.02702702702702703,0.020833333333333332,0.015873015873015872,0.03508771929824561,0.06060606060606061,0.028985507246376812,0.06896551724137931,0.045454545454545456,0.0
manganese chloride,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.25
methylmercury chloride,0.01694915254237288,0.09523809523809523,0.034482758620689655,0.11764705882352941,0.0,0.0,1.0,0.07142857142857142,0.017543859649122806,0.034482758620689655,0.05714285714285714,0.0,0.04,0.02702702702702703,0.02040816326530612,0.023809523809523808,0.03333333333333333,0.01639344262295082,0.014925373134328358,0.05128205128205128,0.037037037037037035,0.04081632653061224,0.038461538461538464,0.016129032258064516,0.0,0.0,0.0
lead acetate,0.06779661016949153,0.04,0.03125,0.047619047619047616,0.045454545454545456,0.0,0.07142857142857142,1.0,0.03389830508474576,0.0,0.02564102564102564,0.037037037037037035,0.20833333333333334,0.07894736842105263,0.06,0.12195121951219512,0.13333333333333333,0.04838709677419355,0.04411764705882353,0.1,0.05357142857142857,0.08,0.15384615384615385,0.06451612903225806,0.04,0.025,0.0
deguelin,0.582089552238806,0.06153846153846154,0.07042253521126761,0.06557377049180328,0.0,0.0,0.017543859649122806,0.03389830508474576,1.0,0.07042253521126761,0.09210526315789473,0.04411764705882353,0.07462686567164178,0.10526315789473684,0.07865168539325842,0.1125,0.1,0.14893617021276595,0.12871287128712872,0.0875,0.10869565217391304,0.06593406593406594,0.08955223880597014,0.13541666666666666,0.045454545454545456,0.07692307692307693,0.0
dieldrin,0.05405405405405406,0.025,0.043478260869565216,0.027777777777777776,0.0,0.0,0.034482758620689655,0.0,0.07042253521126761,1.0,0.0784313725490196,0.023809523809523808,0.023255813953488372,0.037037037037037035,0.07936507936507936,0.03389830508474576,0.020833333333333332,0.06666666666666667,0.06172839506172839,0.05357142857142857,0.1044776119402985,0.045454545454545456,0.022727272727272728,0.06578947368421052,0.07894736842105263,0.09803921568627451,0.0
