,rotenone,MPP+,paraquat,manganese chloride,methylmercury chloride,chlorpyrifos,acetaminophen,sulfamethoxazole,furosemide,warfarin,ibuprofen,troglitazone,fulvestrant,fenofibrate,propiconazole,prochloraz,diethyl phthalate,simvastatin,sucrose
rotenone,0.9999999999999999,0.4830458915396479,0.8106434833777777,0.1690308509457033,0.7626155968105769,0.46431212265489724,0.0,0.0,0.08512565307587484,0.26421929393536175,0.0,0.6752825286548537,0.5486726407127174,0.5833799474707638,0.6503798895644808,0.7598844579413676,0.10101525445522107,0.5095101710852533,0.0
MPP+,0.4830458915396479,0.9999999999999998,0.4335549847620599,0.0,0.4714045207910316,0.5303300858899106,0.0,,,0.6123724356957946,,,,,,,,0.7071067811865475,
paraquat,0.8106434833777777,0.4335549847620599,0.9999999999999998,0.47519096331149147,0.8120207067920382,0.8437499999999998,0.0,,,0.3651483716701107,,,,,,,,0.82915619758885,
manganese chloride,0.1690308509457033,0.0,0.47519096331149147,1.0,0.3859224924939799,0.4190790380624748,0.0,,,0.0,,,,,,,,0.0,
methylmercury chloride,0.7626155968105769,0.4714045207910316,0.8120207067920382,0.3859224924939799,1.0,0.5201730615633997,0.0,0.0,0.0,0.24708310555370036,0.0,0.5959538004723582,0.39285714285714285,0.5443659369057415,0.5340672878895636,0.5939138709164986,0.09053574604251853,0.6683495915092552,0.0
chlorpyrifos,0.46431212265489724,0.5303300858899106,0.8437499999999998,0.4190790380624748,0.5201730615633997,1.0,0.0,0.0,0.2581988897471611,0.3298496228501568,0.0,0.44466443415755036,0.4216370213557839,0.4940066691350503,0.40769814332140186,0.5038816464359696,0.31622776601683794,0.43196773019457513,0.0
acetaminophen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sulfamethoxazole,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furosemide,0.08512565307587484,,,,0.0,0.2581988897471611,0.0,0.0,0.9999999999999998,0.3779644730092272,0.0,0.18257418583505533,0.0,0.1841149235796647,0.13736056394868904,0.09205746178983235,0.0,0.0,0.0
warfarin,0.26421929393536175,0.6123724356957946,0.3651483716701107,0.0,0.24708310555370036,0.3298496228501568,0.0,0.0,0.3779644730092272,1.0000000000000002,0.0,0.292704693305841,0.3458572319330373,0.34476066350449647,0.2713626770646286,0.2750095491084634,0.4714045207910316,0.2559372500614013,0.0
ibuprofen,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
troglitazone,0.6752825286548537,,,,0.5959538004723582,0.44466443415755036,0.0,0.0,0.18257418583505533,0.292704693305841,0.0,1.0,0.6500112459665918,0.541662895914477,0.45607966191078725,0.5893792414721934,0.11180339887498948,0.6247548538834896,0.0
fulvestrant,0.5486726407127174,,,,0.39285714285714285,0.4216370213557839,0.0,0.0,0.0,0.3458572319330373,0.0,0.6500112459665918,0.9999999999999998,0.6500112459665915,0.678914604256241,0.5803810000880093,0.0,0.6492344540642356,0.0
fenofibrate,0.5833799474707638,,,,0.5443659369057415,0.4940066691350503,0.0,0.0,0.1841149235796647,0.34476066350449647,0.0,0.541662895914477,0.6500112459665915,1.0,0.6308932681440449,0.6218984729061796,0.21320071635561041,0.42877971425067274,0.0
propiconazole,0.6503798895644808,,,,0.5340672878895636,0.40769814332140186,0.0,0.0,0.13736056394868904,0.2713626770646286,0.0,0.45607966191078725,0.678914604256241,0.6308932681440449,1.0,0.7857340827407755,0.22086305214969307,0.3984266578090534,0.0
prochloraz,0.7598844579413676,,,,0.5939138709164986,0.5038816464359696,0.0,0.0,0.09205746178983235,0.2750095491084634,0.0,0.5893792414721934,0.5803810000880093,0.6218984729061796,0.7857340827407755,1.0,0.20412414523193148,0.42660097478434106,0.0
diethyl phthalate,0.10101525445522107,,,,0.09053574604251853,0.31622776601683794,0.0,0.0,0.0,0.4714045207910316,0.0,0.11180339887498948,0.0,0.21320071635561041,0.22086305214969307,0.20412414523193148,0.9999999999999998,0.22086305214969307,0.0
simvastatin,0.5095101710852533,0.7071067811865475,0.82915619758885,0.0,0.6683495915092552,0.43196773019457513,0.0,0.0,0.0,0.2559372500614013,0.0,0.6247548538834896,0.6492344540642356,0.42877971425067274,0.3984266578090534,0.42660097478434106,0.22086305214969307,0.9999999999999998,0.0
sucrose,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
