name,role,tier,cid,is_metal,b3db,b3db_logBB,tpsa,mollogp,boiled_egg_bbb,bbb_call
rotenone,positive,assay_mechanism_recovered,6758,False,,,63.2,3.7,+,+
MPP+,positive,assay_mechanism_recovered,39484,False,,,3.9,2.18,+,+
MPTP,positive,curated_anchored_only,1388,False,BBB+,,3.2,2.41,+,BBB+
paraquat,positive,assay_mechanism_recovered,15939,False,,,7.8,1.0,+,+
maneb,positive,curated_anchored_only,3032581,False,,,24.1,-0.17,-,-
manganese chloride,positive,assay_mechanism_recovered,26003,True,,,,,NA(metal),NA(metal)
methylmercury chloride,positive,assay_mechanism_recovered,409301,True,,,,,NA(metal),NA(metal)
lead acetate,positive,curated_anchored_only,9317,True,,,,,NA(metal),NA(metal)
deguelin,positive,curated_anchored_only,107935,False,,,63.2,4.01,+,+
dieldrin,positive,curated_anchored_only,969491,False,,,12.5,4.48,+,+
chlorpyrifos,positive,assay_mechanism_recovered,2730,False,,,40.6,4.72,+,+
6-hydroxydopamine,positive,curated_anchored_only,4624,False,,,86.7,0.3,-,-
acetaminophen,negative,clean_negative,1983,False,BBB+,-0.3,49.3,1.35,+,BBB+
sulfamethoxazole,negative,clean_negative,5329,False,,,98.2,1.37,-,-
furosemide,negative,clean_negative,3440,False,BBB-,,122.6,1.89,-,BBB-
warfarin,negative,adversarial_negative,54678486,False,BBB-,,67.5,3.61,+,BBB-
ibuprofen,negative,weak_negative,3672,False,BBB+,-0.2,37.3,3.07,+,BBB+
troglitazone,negative,adversarial_negative,5591,False,,,84.9,4.37,-,-
fulvestrant,negative,clean_negative,104741,False,BBB-,,57.5,8.68,-,BBB-
fenofibrate,negative,adversarial_negative,3339,False,BBB-,,52.6,4.68,+,BBB-
propiconazole,negative,adversarial_negative,43234,False,,,49.2,3.65,+,+
prochloraz,negative,adversarial_negative,73665,False,,,47.4,4.6,+,+
diethyl phthalate,negative,clean_negative,6781,False,,,52.6,2.04,+,+
simvastatin,negative,adversarial_negative,54454,False,BBB+,-0.01,72.8,4.59,+,BBB+
D-glucose,negative,weak_negative,5793,False,,,110.4,-3.22,-,-
sucrose,negative,clean_negative,5988,False,BBB-,-1.7,189.5,-5.4,-,BBB-
sodium chloride,negative,weak_negative,5234,False,,,0.0,-5.99,-,-
